blind_id,item_id,question,evidence,action,answer,temporal_state,modality,scope,source_status,observer_state,world,notes
8d4d1fa4d877088c,source_conflict-0338,Who is the chair?,"[{""text"": ""An anonymous post says Ari became chair."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 9, ""valid_from"": 9, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Dina as chair."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Dina,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
096a772b9088cf9a,scope-0005,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Beta unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Beta"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
a211078d81ac28bb,source_conflict-0096,Who is the coordinator?,"[{""text"": ""The official notice confirms Ari as coordinator."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Dina became coordinator."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 18, ""valid_from"": 18, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",ANSWER,Ari,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
99a94f3f4f81f1f5,observer-0299,Does Cato believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Cato did not receive the cancellation."", ""actor"": ""Cato"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Faye"", ""Bora""]}, {""text"": ""Cato received the original meeting invitation."", ""actor"": ""Cato"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Cato""}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=evidence_auditor; not a human rating
3806aa01ab63c4e2,observer-0020,Does Faye believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Faye did not receive the cancellation."", ""actor"": ""Faye"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 11, ""valid_from"": 11, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Luca"", ""Eli""]}, {""text"": ""Faye received the original meeting invitation."", ""actor"": ""Faye"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Faye""}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=evidence_auditor; not a human rating
32afc82b39ef1677,hidden_premise-0135,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 21."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 16, ""valid_from"": 16, ""valid_to"": 21, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
876bdb0290ec0515,scope-0226,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Beta unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Beta"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
e38c39f7b1ebb20c,modality-0438,Has Delta been closed?,"[{""text"": ""The board is considering closing Delta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Delta"", ""time"": 7, ""valid_from"": 7, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Delta""}, {""text"": ""No decision has been made about closing Delta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Delta"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",ANSWER,no,stable,proposed,global,alternate_source_status,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
7be560586be33558,temporal-0267,Who is the current lead at time 14?,"[{""text"": ""Faye resigned as lead."", ""actor"": ""Faye"", ""event"": ""resign"", ""target"": ""lead"", ""time"": 13, ""valid_from"": 13, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Gio was appointed lead."", ""actor"": ""Gio"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed lead."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""lead"", ""time"": 1, ""valid_from"": 1, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Gio,relevant,confirmed,global,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
03e105cf5a5566e5,modality-0388,Has Beta been closed?,"[{""text"": ""The board is considering closing Beta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Beta"", ""time"": 4, ""valid_from"": 4, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Beta""}, {""text"": ""No decision has been made about closing Beta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Beta"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",ANSWER,no,stable,proposed,global,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
1194daf21c686aef,counterfactual-0441,"In the hypothetical scenario, can users access service Gamma?","[{""text"": ""In the hypothetical scenario, service Gamma remains online."", ""actor"": ""Gamma"", ""event"": ""online"", ""target"": ""service"", ""time"": 8, ""valid_from"": 8, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Gamma is offline."", ""actor"": ""Gamma"", ""event"": ""offline"", ""target"": ""service"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,counterfactual,SIMULATED persona=evidence_auditor; not a human rating
6ceca413321387be,observer-0505,Does Hana believe the meeting will occur?,"[{""text"": ""Hana received the original meeting invitation."", ""actor"": ""Hana"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Hana""}, {""text"": ""The meeting was cancelled, but Hana did not receive the cancellation."", ""actor"": ""Hana"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Gio"", ""Luca""]}]",ANSWER,yes,stable,confirmed,global,reliable,partial,actual,SIMULATED persona=evidence_auditor; not a human rating
b6dbd749eec462f0,scope-0062,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
64c8ed9a060f7952,counterfactual-0273,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 5, ""valid_from"": 5, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 4, ""valid_from"": 4, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,counterfactual,SIMULATED persona=evidence_auditor; not a human rating
6487995043e22e9d,counterfactual-0370,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 18, ""valid_from"": 18, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,alternate_world,SIMULATED persona=evidence_auditor; not a human rating
185374fdf4157a10,temporal-0414,Who is the current coordinator at time 20?,"[{""text"": ""Hana was appointed coordinator."", ""actor"": ""Hana"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye resigned as coordinator."", ""actor"": ""Faye"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed coordinator."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Hana,relevant,confirmed,global,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
307b78d6d1ee7dce,hidden_premise-0535,Can I register now?,"[{""text"": ""Registration is open for Alpha residents until day 13."", ""actor"": ""Alpha"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 8, ""valid_from"": 8, ""valid_to"": 13, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
558ee03b41ed5405,hidden_premise-0153,Can I register now?,"[{""text"": ""Registration is open for Delta residents until day 14."", ""actor"": ""Delta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 9, ""valid_from"": 9, ""valid_to"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
fa3eeb8d697501a8,source_conflict-0476,Who is the director?,"[{""text"": ""The official notice confirms Ari as director."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Kira became director."", ""actor"": ""Kira"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 7, ""valid_from"": 7, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",ANSWER,Ari,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
95032745d2e4d2aa,source_conflict-0540,Who is the director?,"[{""text"": ""The official notice confirms Gio as director."", ""actor"": ""Gio"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Cato became director."", ""actor"": ""Cato"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 13, ""valid_from"": 13, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",ANSWER,Gio,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
3ec11fa558f30b11,source_conflict-0462,Who is the director?,"[{""text"": ""An anonymous post says Juno became director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Faye as director."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Faye,stable,confirmed,global,conflict,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
d4f0a195963c1d35,hidden_premise-0413,Can I register now?,"[{""text"": ""Registration is open for Beta residents until day 14."", ""actor"": ""Beta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 9, ""valid_from"": 9, ""valid_to"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",CLARIFY,CLARIFY,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
d012696219909b30,counterfactual-0103,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 15, ""valid_from"": 15, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 16, ""valid_from"": 16, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,counterfactual,SIMULATED persona=evidence_auditor; not a human rating
019901c8a4b292ef,scope-0042,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 16, ""valid_from"": 16, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",ANSWER,no,stable,confirmed,limited,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
9d884f0d7ef33c8b,counterfactual-0227,"In the hypothetical scenario, can users access service Delta?","[{""text"": ""In reality, service Delta is offline."", ""actor"": ""Delta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 13, ""valid_from"": 13, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Delta remains online."", ""actor"": ""Delta"", ""event"": ""online"", ""target"": ""service"", ""time"": 14, ""valid_from"": 14, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",ANSWER,yes,stable,confirmed,global,reliable,shared,counterfactual,SIMULATED persona=evidence_auditor; not a human rating
9ef2e91931dceda0,temporal-0165,Who is the current director at time 11?,"[{""text"": ""Bora resigned as director."", ""actor"": ""Bora"", ""event"": ""resign"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Bora was appointed director."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",ANSWER,Juno,relevant,confirmed,global,reliable,shared,actual,SIMULATED persona=evidence_auditor; not a human rating
