blind_id,item_id,question,evidence,action,answer,temporal_state,modality,scope,source_status,observer_state,world,notes
07b2bc105f359352,counterfactual-0486,"In the hypothetical scenario, can users access service Alpha?","[{""text"": ""In reality, service Alpha is offline."", ""actor"": ""Alpha"", ""event"": ""offline"", ""target"": ""service"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Alpha remains online."", ""actor"": ""Alpha"", ""event"": ""online"", ""target"": ""service"", ""time"": 11, ""valid_from"": 11, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",,,,,,,,,
8220a561f84079e8,counterfactual-0227,"In the hypothetical scenario, can users access service Delta?","[{""text"": ""In reality, service Delta is offline."", ""actor"": ""Delta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 13, ""valid_from"": 13, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Delta remains online."", ""actor"": ""Delta"", ""event"": ""online"", ""target"": ""service"", ""time"": 14, ""valid_from"": 14, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",,,,,,,,,
82e935910d34bb2e,modality-0388,Has Beta been closed?,"[{""text"": ""The board is considering closing Beta."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Beta"", ""time"": 4, ""valid_from"": 4, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Beta""}, {""text"": ""No decision has been made about closing Beta."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Beta"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",,,,,,,,,
1d050a5118ba890d,scope-0543,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
4e4a7755fe6bce45,observer-0575,Does Luca believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Luca did not receive the cancellation."", ""actor"": ""Luca"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Ivan"", ""Dina""]}, {""text"": ""Luca received the original meeting invitation."", ""actor"": ""Luca"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Luca""}]",,,,,,,,,
28c7c3e3b7dc1df0,hidden_premise-0153,Can I register now?,"[{""text"": ""Registration is open for Delta residents until day 14."", ""actor"": ""Delta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 9, ""valid_from"": 9, ""valid_to"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Delta""}]",,,,,,,,,
b7371fc6ff6c13ae,temporal-0165,Who is the current director at time 11?,"[{""text"": ""Bora resigned as director."", ""actor"": ""Bora"", ""event"": ""resign"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Juno was appointed director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Bora was appointed director."", ""actor"": ""Bora"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
f5186e9235ebaadd,temporal-0414,Who is the current coordinator at time 20?,"[{""text"": ""Hana was appointed coordinator."", ""actor"": ""Hana"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye resigned as coordinator."", ""actor"": ""Faye"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 18, ""valid_from"": 18, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed coordinator."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
7c2d35ff9261f77b,source_conflict-0462,Who is the director?,"[{""text"": ""An anonymous post says Juno became director."", ""actor"": ""Juno"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 8, ""valid_from"": 8, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Faye as director."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""director"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
cadb005112387dfa,temporal-0348,Who is the current coordinator at time 6?,"[{""text"": ""Ari was appointed coordinator."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 1, ""valid_from"": 1, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Ari resigned as coordinator."", ""actor"": ""Ari"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 4, ""valid_from"": 4, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed coordinator."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
