blind_id,item_id,question,evidence,action,answer,temporal_state,modality,scope,source_status,observer_state,world,notes
269834e76a61744d,source_conflict-0408,Who is the chair?,"[{""text"": ""An anonymous post says Luca became chair."", ""actor"": ""Luca"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 7, ""valid_from"": 7, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}, {""text"": ""The official notice confirms Cato as chair."", ""actor"": ""Cato"", ""event"": ""appoint"", ""target"": ""chair"", ""time"": 8, ""valid_from"": 8, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
31f7d75c782206fc,modality-0102,Has Alpha been closed?,"[{""text"": ""No decision has been made about closing Alpha."", ""actor"": ""board"", ""event"": ""not_decided"", ""target"": ""Alpha"", ""time"": 6, ""valid_from"": 6, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}, {""text"": ""The board is considering closing Alpha."", ""actor"": ""board"", ""event"": ""close"", ""target"": ""Alpha"", ""time"": 5, ""valid_from"": 5, ""status"": ""proposed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
1f37708cafc43686,counterfactual-0065,"In the hypothetical scenario, can users access service Delta?","[{""text"": ""In reality, service Delta is offline."", ""actor"": ""Delta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 4, ""valid_from"": 4, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Delta remains online."", ""actor"": ""Delta"", ""event"": ""online"", ""target"": ""service"", ""time"": 5, ""valid_from"": 5, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",,,,,,,,,
c0721018c0f7ceb7,scope-0400,Does the restructuring apply to every unit?,"[{""text"": ""A restructuring applies only to the Alpha unit."", ""actor"": ""company"", ""event"": ""restructure"", ""target"": ""Alpha"", ""time"": 14, ""valid_from"": 14, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Alpha""}]",,,,,,,,,
9a5c9c504a0e098b,temporal-0348,Who is the current coordinator at time 6?,"[{""text"": ""Ari was appointed coordinator."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 1, ""valid_from"": 1, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Ari resigned as coordinator."", ""actor"": ""Ari"", ""event"": ""resign"", ""target"": ""coordinator"", ""time"": 4, ""valid_from"": 4, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""Faye was appointed coordinator."", ""actor"": ""Faye"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 5, ""valid_from"": 5, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}]",,,,,,,,,
7ba31eeffcd01ad0,source_conflict-0096,Who is the coordinator?,"[{""text"": ""The official notice confirms Ari as coordinator."", ""actor"": ""Ari"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 19, ""valid_from"": 19, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""global""}, {""text"": ""An anonymous post says Dina became coordinator."", ""actor"": ""Dina"", ""event"": ""appoint"", ""target"": ""coordinator"", ""time"": 18, ""valid_from"": 18, ""status"": ""rumor"", ""source"": ""anonymous"", ""scope"": ""global""}]",,,,,,,,,
effaee668faf70b0,hidden_premise-0060,Can I register now?,"[{""text"": ""Registration is open for Beta residents until day 20."", ""actor"": ""Beta"", ""event"": ""eligibility"", ""target"": ""registration"", ""time"": 15, ""valid_from"": 15, ""valid_to"": 20, ""status"": ""confirmed"", ""source"": ""official"", ""scope"": ""Beta""}]",,,,,,,,,
8927ba5817dad122,counterfactual-0370,"In the hypothetical scenario, can users access service Beta?","[{""text"": ""In the hypothetical scenario, service Beta remains online."", ""actor"": ""Beta"", ""event"": ""online"", ""target"": ""service"", ""time"": 18, ""valid_from"": 18, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}, {""text"": ""In reality, service Beta is offline."", ""actor"": ""Beta"", ""event"": ""offline"", ""target"": ""service"", ""time"": 17, ""valid_from"": 17, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}]",,,,,,,,,
6981c15e1dcb736a,counterfactual-0486,"In the hypothetical scenario, can users access service Alpha?","[{""text"": ""In reality, service Alpha is offline."", ""actor"": ""Alpha"", ""event"": ""offline"", ""target"": ""service"", ""time"": 10, ""valid_from"": 10, ""status"": ""confirmed"", ""source"": ""monitor"", ""scope"": ""reality""}, {""text"": ""In the hypothetical scenario, service Alpha remains online."", ""actor"": ""Alpha"", ""event"": ""online"", ""target"": ""service"", ""time"": 11, ""valid_from"": 11, ""status"": ""assumed"", ""source"": ""scenario"", ""scope"": ""counterfactual""}]",,,,,,,,,
626f18b39feb15d9,observer-0355,Does Juno believe the meeting will occur?,"[{""text"": ""The meeting was cancelled, but Juno did not receive the cancellation."", ""actor"": ""Juno"", ""event"": ""cancel"", ""target"": ""meeting"", ""time"": 9, ""valid_from"": 9, ""status"": ""confirmed"", ""source"": ""organizer"", ""scope"": ""organizers"", ""observed_by"": [""Ivan"", ""Gio""]}, {""text"": ""Juno received the original meeting invitation."", ""actor"": ""Juno"", ""event"": ""invite"", ""target"": ""meeting"", ""time"": 7, ""valid_from"": 7, ""status"": ""confirmed"", ""source"": ""email"", ""scope"": ""Juno""}]",,,,,,,,,
